iter	Passed	Remaining
0	122	122090
1	124	62247
2	127	42222
3	128	32102
4	130	26018
5	133	22119
6	136	19312
7	137	17105
8	139	15341
9	140	13925
10	141	12722
11	142	11710
12	142	10852
13	143	10118
14	144	9478
15	144	8915
16	145	8428
17	147	8047
18	148	7661
19	149	7324
20	150	7001
21	150	6711
22	151	6443
23	152	6203
24	153	5977
25	154	5769
26	154	5576
27	155	5399
28	156	5230
29	156	5070
30	157	4921
31	158	4781
32	158	4650
33	159	4527
34	159	4409
35	162	4347
36	163	4247
37	163	4151
38	164	4056
39	165	3964
40	165	3876
41	166	3791
42	166	3711
43	167	3634
44	167	3561
45	168	3490
46	168	3423
47	169	3359
48	169	3297
49	170	3238
50	171	3182
51	171	3127
52	172	3073
53	172	3022
54	173	2973
55	173	2926
56	174	2880
57	174	2836
58	175	2801
59	176	2766
60	177	2727
61	177	2690
62	178	2653
63	178	2617
64	179	2583
65	180	2549
66	180	2516
67	181	2484
68	181	2453
69	182	2423
70	183	2395
71	183	2367
72	184	2338
73	184	2310
74	185	2284
75	185	2258
76	186	2232
77	186	2207
78	187	2183
79	187	2160
80	188	2137
81	188	2115
82	189	2090
83	189	2071
84	191	2059
85	192	2041
86	193	2026
87	193	2008
88	194	1989
89	195	1971
90	195	1953
91	196	1936
92	196	1919
93	197	1901
94	197	1885
95	198	1868
96	198	1851
97	199	1836
98	200	1821
99	200	1806
100	201	1791
101	201	1776
102	202	1761
103	202	1747
104	203	1733
105	203	1719
106	204	1707
107	206	1702
108	206	1689
109	207	1677
110	208	1668
111	208	1656
112	209	1644
113	210	1632
114	210	1620
115	211	1609
116	211	1596
117	212	1585
118	212	1574
119	213	1563
120	213	1553
121	214	1542
122	215	1533
123	215	1523
124	216	1513
125	216	1503
126	217	1492
127	217	1482
128	218	1473
129	218	1463
130	219	1454
131	221	1457
132	222	1450
133	223	1442
134	224	1436
135	224	1427
136	225	1419
137	225	1410
138	226	1401
139	226	1393
140	227	1385
141	227	1376
142	228	1368
143	228	1360
144	229	1353
145	230	1346
146	230	1338
147	231	1330
148	231	1323
149	232	1315
150	232	1308
151	233	1301
152	233	1294
153	234	1289
154	235	1285
155	236	1279
156	236	1272
157	237	1265
158	238	1260
159	238	1253
160	239	1246
161	239	1240
162	240	1234
163	240	1228
164	241	1222
165	242	1216
166	242	1210
167	243	1204
168	243	1199
169	244	1193
170	245	1188
171	245	1182
172	246	1176
173	246	1170
174	247	1165
175	247	1159
176	248	1154
177	248	1148
178	249	1145
179	250	1142
180	251	1137
181	252	1133
182	253	1129
183	253	1125
184	254	1120
185	254	1114
186	255	1109
187	255	1105
188	256	1100
189	256	1095
190	257	1090
191	258	1086
192	258	1081
193	259	1077
194	259	1073
195	260	1068
196	260	1063
197	261	1059
198	261	1054
199	262	1049
200	262	1045
201	263	1040
202	264	1037
203	265	1035
204	266	1031
205	266	1027
206	268	1027
207	268	1023
208	269	1019
209	269	1014
210	270	1010
211	270	1007
212	271	1002
213	271	998
214	272	995
215	273	991
216	273	987
217	274	983
218	274	979
219	275	975
220	275	971
221	276	968
222	276	964
223	277	960
224	277	956
225	278	953
226	278	949
227	280	949
228	281	946
229	281	942
230	282	939
